Campaign,Ad Group,Status,Campaign Type,Sub Type,Networks,Search Partners,Display Network,Targeting,Ad Schedule,Budget,Labels,Campaign Bid Strategy Type,Asset Group Bid Strategy Type,Asset Group Bid Strategy Name,Target CPA,Max CPC,Enhanced CPC,EU Political Content,Keywords,Geographic Targeting,City Targeting,ZIP Code Targeting,Regional Targeting,Service Category,Priority Level,Conversion Actions,Ad Group Labels
wrights_broward_priority_2,fort_lauderdale_windows_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,125.00,Broward County|Priority 2|Coastal Corridor,Manual CPC,Target CPA,Target CPA - High Value Service,45.00,,Disabled,Disabled,"impact windows fort lauderdale near me","Fort Lauderdale, FL","Fort Lauderdale, FL","33301,33304,33305,33308,33309,33311,33312,33315,33316,33317,33321,33322,33324,33326,33328,33334,33351","Broward County, FL",Impact Windows,Priority 2,Website Quotes + Phone Calls,Broward|Fort Lauderdale|Windows|Priority 2
wrights_broward_priority_2,pompano_beach_windows_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,125.00,Broward County|Priority 2|Coastal Corridor,Manual CPC,Target CPA,Target CPA - High Value Service,45.00,,Disabled,Disabled,"impact windows pompano beach near me","Pompano Beach, FL","Pompano Beach, FL","33060,33061,33062,33063,33064,33065,33066,33067,33068,33069,33071,33073,33074,33076,33077","Broward County, FL",Impact Windows,Priority 2,Website Quotes + Phone Calls,Broward|Pompano Beach|Windows|Priority 2
wrights_broward_priority_2,hollywood_windows_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,125.00,Broward County|Priority 2|Coastal Corridor,Manual CPC,Target CPA,Target CPA - High Value Service,45.00,,Disabled,Disabled,"impact windows hollywood near me","Hollywood, FL","Hollywood, FL","33004,33009,33019,33020,33021,33022,33023,33024,33025,33026,33027,33028,33029,33081,33083,33084","Broward County, FL",Impact Windows,Priority 2,Website Quotes + Phone Calls,Broward|Hollywood|Windows|Priority 2
wrights_broward_priority_2,pembroke_pines_windows_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,125.00,Broward County|Priority 2|Coastal Corridor,Manual CPC,Target CPA,Target CPA - High Value Service,45.00,,Disabled,Disabled,"impact windows pembroke pines near me","Pembroke Pines, FL","Pembroke Pines, FL","33023,33024,33025,33026,33027,33028,33029,33082,33084","Broward County, FL",Impact Windows,Priority 2,Website Quotes + Phone Calls,Broward|Pembroke Pines|Windows|Priority 2
wrights_broward_priority_2,coral_springs_windows_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,125.00,Broward County|Priority 2|Coastal Corridor,Manual CPC,Target CPA,Target CPA - High Value Service,45.00,,Disabled,Disabled,"impact windows coral springs near me","Coral Springs, FL","Coral Springs, FL","33065,33067,33071,33073,33076,33077","Broward County, FL",Impact Windows,Priority 2,Website Quotes + Phone Calls,Broward|Coral Springs|Windows|Priority 2
wrights_broward_priority_2,fort_lauderdale_doors_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,125.00,Broward County|Priority 2|Coastal Corridor,Manual CPC,Maximize Conversions,Maximize Conversions - Established Service,,,Disabled,Disabled,"impact doors fort lauderdale near me","Fort Lauderdale, FL","Fort Lauderdale, FL","33301,33304,33305,33308,33309,33311,33312,33315,33316,33317,33321,33322,33324,33326,33328,33334,33351","Broward County, FL",Impact Doors,Priority 2,Website Quotes + Phone Calls,Broward|Fort Lauderdale|Doors|Priority 2
wrights_broward_priority_2,pompano_beach_doors_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,125.00,Broward County|Priority 2|Coastal Corridor,Manual CPC,Maximize Conversions,Maximize Conversions - Established Service,,,Disabled,Disabled,"impact doors pompano beach near me","Pompano Beach, FL","Pompano Beach, FL","33060,33061,33062,33063,33064,33065,33066,33067,33068,33069,33071,33073,33074,33076,33077","Broward County, FL",Impact Doors,Priority 2,Website Quotes + Phone Calls,Broward|Pompano Beach|Doors|Priority 2
wrights_broward_priority_2,hollywood_doors_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,125.00,Broward County|Priority 2|Coastal Corridor,Manual CPC,Maximize Conversions,Maximize Conversions - Established Service,,,Disabled,Disabled,"impact doors hollywood near me","Hollywood, FL","Hollywood, FL","33004,33009,33019,33020,33021,33022,33023,33024,33025,33026,33027,33028,33029,33081,33083,33084","Broward County, FL",Impact Doors,Priority 2,Website Quotes + Phone Calls,Broward|Hollywood|Doors|Priority 2
wrights_broward_priority_2,pembroke_pines_doors_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,125.00,Broward County|Priority 2|Coastal Corridor,Manual CPC,Maximize Conversions,Maximize Conversions - Established Service,,,Disabled,Disabled,"impact doors pembroke pines near me","Pembroke Pines, FL","Pembroke Pines, FL","33023,33024,33025,33026,33027,33028,33029,33082,33084","Broward County, FL",Impact Doors,Priority 2,Website Quotes + Phone Calls,Broward|Pembroke Pines|Doors|Priority 2
wrights_broward_priority_2,coral_springs_doors_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,125.00,Broward County|Priority 2|Coastal Corridor,Manual CPC,Maximize Conversions,Maximize Conversions - Established Service,,,Disabled,Disabled,"impact doors coral springs near me","Coral Springs, FL","Coral Springs, FL","33065,33067,33071,33073,33076,33077","Broward County, FL",Impact Doors,Priority 2,Website Quotes + Phone Calls,Broward|Coral Springs|Doors|Priority 2
wrights_broward_priority_2,fort_lauderdale_hurricane_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,125.00,Broward County|Priority 2|Coastal Corridor,Manual CPC,Manual CPC,Manual CPC - New Service,,3.00,Disabled,Disabled,"hurricane protection fort lauderdale near me","Fort Lauderdale, FL","Fort Lauderdale, FL","33301,33304,33305,33308,33309,33311,33312,33315,33316,33317,33321,33322,33324,33326,33328,33334,33351","Broward County, FL",Hurricane Protection,Priority 2,Website Quotes + Phone Calls,Broward|Fort Lauderdale|Hurricane|Priority 2
wrights_broward_priority_2,pompano_beach_hurricane_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,125.00,Broward County|Priority 2|Coastal Corridor,Manual CPC,Manual CPC,Manual CPC - New Service,,3.00,Disabled,Disabled,"hurricane protection pompano beach near me","Pompano Beach, FL","Pompano Beach, FL","33060,33061,33062,33063,33064,33065,33066,33067,33068,33069,33071,33073,33074,33076,33077","Broward County, FL",Hurricane Protection,Priority 2,Website Quotes + Phone Calls,Broward|Pompano Beach|Hurricane|Priority 2
wrights_broward_priority_2,hollywood_hurricane_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,125.00,Broward County|Priority 2|Coastal Corridor,Manual CPC,Manual CPC,Manual CPC - New Service,,3.00,Disabled,Disabled,"hurricane protection hollywood near me","Hollywood, FL","Hollywood, FL","33004,33009,33019,33020,33021,33022,33023,33024,33025,33026,33027,33028,33029,33081,33083,33084","Broward County, FL",Hurricane Protection,Priority 2,Website Quotes + Phone Calls,Broward|Hollywood|Hurricane|Priority 2
wrights_broward_priority_2,pembroke_pines_hurricane_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,125.00,Broward County|Priority 2|Coastal Corridor,Manual CPC,Manual CPC,Manual CPC - New Service,,3.00,Disabled,Disabled,"hurricane protection pembroke pines near me","Pembroke Pines, FL","Pembroke Pines, FL","33023,33024,33025,33026,33027,33028,33029,33082,33084","Broward County, FL",Hurricane Protection,Priority 2,Website Quotes + Phone Calls,Broward|Pembroke Pines|Hurricane|Priority 2
wrights_broward_priority_2,coral_springs_hurricane_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,125.00,Broward County|Priority 2|Coastal Corridor,Manual CPC,Manual CPC,Manual CPC - New Service,,3.00,Disabled,Disabled,"hurricane protection coral springs near me","Coral Springs, FL","Coral Springs, FL","33065,33067,33071,33073,33076,33077","Broward County, FL",Hurricane Protection,Priority 2,Website Quotes + Phone Calls,Broward|Coral Springs|Hurricane|Priority 2
wrights_broward_priority_2,fort_lauderdale_energy_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,125.00,Broward County|Priority 2|Coastal Corridor,Manual CPC,Maximize Conversions,Maximize Conversions - Established Service,,,Disabled,Disabled,"energy efficiency fort lauderdale near me","Fort Lauderdale, FL","Fort Lauderdale, FL","33301,33304,33305,33308,33309,33311,33312,33315,33316,33317,33321,33322,33324,33326,33328,33334,33351","Broward County, FL",Energy Efficiency,Priority 2,Website Quotes + Phone Calls,Broward|Fort Lauderdale|Energy|Priority 2
wrights_broward_priority_2,pompano_beach_energy_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,125.00,Broward County|Priority 2|Coastal Corridor,Manual CPC,Maximize Conversions,Maximize Conversions - Established Service,,,Disabled,Disabled,"energy efficiency pompano beach near me","Pompano Beach, FL","Pompano Beach, FL","33060,33061,33062,33063,33064,33065,33066,33067,33068,33069,33071,33073,33074,33076,33077","Broward County, FL",Energy Efficiency,Priority 2,Website Quotes + Phone Calls,Broward|Pompano Beach|Energy|Priority 2
