search_term,decision,recommended_action,campaign,ad_group,suggested_ad_group,clicks,impressions,cost,conversions,reason,client_prompt
emdr therapy markham,Focus,Add as phrase keyword,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,2.0,3.0,10.04,1.0,Conversion signal plus clear therapy-service intent.,"Reply Focus, Keep, or Exclude."
emdr therapy toronto,Focus,Add as phrase keyword,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,6.0,60.0,46.9,0.0,Multiple clicks with clear therapy-service intent and no obvious exclusion pattern.,"Reply Focus, Keep, or Exclude."
chronic pain psychologist near me,Focus,Add as phrase keyword,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,2.0,2.0,3.7,0.0,Multiple clicks with clear therapy-service intent and no obvious exclusion pattern.,"Reply Focus, Keep, or Exclude."
the pain clinic toronto,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,2.0,11.0,34.31,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
best pain clinic toronto,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,2.0,6.0,22.12,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
interventional pain & spine specialists of canada 1262 don mills rd 62 north york on m3b 2w7,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,2.0,2.0,5.5,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
wasser pain clinic toronto,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,2.0,1.0,11.18,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
ibs treatment,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,1.0,14.0,1.29,0.0,"Relevant service intent with early engagement, but not enough evidence to stage automatically.","Reply Focus, Keep, or Exclude."
chronic pain specialist,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,1.0,9.0,1.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
pain reprocessing therapy toronto,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,1.0,9.0,2.63,0.0,Geo-modified service term. Confirm whether this city and service should become an active focus.,"Reply Focus, Keep, or Exclude."
emdr therapy scarborough,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,1.0,6.0,4.56,0.0,Geo-modified service term. Confirm whether this city and service should become an active focus.,"Reply Focus, Keep, or Exclude."
ibs homeopathy treatment,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,1.0,6.0,4.0,0.0,"Relevant service intent with early engagement, but not enough evidence to stage automatically.","Reply Focus, Keep, or Exclude."
pain clinic,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,1.0,6.0,1.92,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
211 toronto mental health,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Illness,Therapy - Chronic Illness,1.0,5.0,2.01,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
dr sarno,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,1.0,5.0,1.59,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
trigger point injections near me,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,1.0,4.0,1.78,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
emdr toronto,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,1.0,3.0,13.42,0.0,Geo-modified service term. Confirm whether this city and service should become an active focus.,"Reply Focus, Keep, or Exclude."
fibromyalgia counselling,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,1.0,3.0,3.5,0.0,"Relevant service intent with early engagement, but not enough evidence to stage automatically.","Reply Focus, Keep, or Exclude."
dr khetani pain clinic,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,1.0,2.0,12.21,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
emdr near me,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,1.0,2.0,19.78,0.0,"Relevant service intent with early engagement, but not enough evidence to stage automatically.","Reply Focus, Keep, or Exclude."
emdr online,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,1.0,2.0,3.72,0.0,"Relevant service intent with early engagement, but not enough evidence to stage automatically.","Reply Focus, Keep, or Exclude."
emdr therapist near me,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,1.0,2.0,7.87,0.0,"Relevant service intent with early engagement, but not enough evidence to stage automatically.","Reply Focus, Keep, or Exclude."
gut directed hypnotherapy near me,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,1.0,2.0,2.04,0.0,"Relevant service intent with early engagement, but not enough evidence to stage automatically.","Reply Focus, Keep, or Exclude."
jacobs pain clinic markham,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,1.0,2.0,3.01,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
kopi pain clinic kingston,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,1.0,2.0,2.95,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
